 rahogI	 raha
 uTA - KUba	 uTA - KUba
 rahoge	 raha
 roMe	 roMe
 pOMCA	 pOMCa
 bulAwA	 bulA
 hA	 hA
 bacAez	 bacA
 sIKeMge	 sIKa
 xiKAUzgA	 xiKA
 haA	 haA
 AUMgI	 A
 haz	 haz
 byAhI	 byAhA
 sunAe	 sunA
 hata	 hata
 kahA - acCI	 kahA - acCA
 Kade	 KadA
 xilAUz	 xilA
 xilAUM	 xilA
 pUCUz	 pUCa
 pUCUM	 pUCa
 jAie	 jA
 samaJanA - mEM	 samaJa - mEM
 kAteM	 kAta
 samaJUMgA	 samaJa
 We - WAyasa	 WA - WAyasa
 ulata - palata	 ulata - palata
 kahA - sunI	 kahA - suna
 poMCawI	 poMCa
 poMCawe	 poMCa
 kosa	 kosa
 calakara	 cala
 jAgawA	 jAga
 karavata	 karavata
 pahuMcawA	 pahuMca
 jutA	 jutA
 hArA	 hArA
 ujAdZA	 ujAdZa
 nahAnA - XonA	 nahA - Xo
 mArakara	 mAra
 karavA	 karavA
 bulAyeM	 bulA
 kosa - kosakara	 kosa - kosa
 jAeá	 jA
 paDZawI	 paDZa
 paDZawe	 paDZa
 Koxane	 Koxa
 sOMlAe	 sOMlAe
 dabadabAI	 dabadabA
 sazBale	 sazBala
 lagAwe	 lagA
 gayA - vaha	 jA - vaha
 becArI	 becArA
 Tagawe	 Taga
 pakadZeM	 pakadZa
 siKAnA	 siKA
 nikAlawIM	 nikAla
 kumhalA	 kumhalA
 sunAI	 sunAI
 kucalakara	 kucala
 TokareM	 Tokara
 JiJakawI	 JiJaka
 JiJakawe	 JiJaka
 ukasAwIM	 ukasA
 simatane	 simata
 wadZapegA	 wadZapa
 navAwe	 navA
 pIsawe - pIsawe	 pIsa - pIsa
 howA	 howA
 mila - julakara	 mila - julakara
 bolA - BEroM	 bolA - BEroM
 kahA - Apane	 kahA - Apa
 WUkakara	 WUka
 huI - mere	 ho - merA
 sunAo	 sunA
 lalacAwA	 lalacA
 girUzgI	 gira
 KOla	 KOla
 biMXA	 biMXa
 Gire	 GirA
 pieMge	 pI
 xilAie	 xilA
 KanaKanAyA	 KanaKanA
 ulatakara	 ulata
 bole - Pira	 bola - Pira
 kahA - are	 kahA - are
 jahannuma	 jahannuma
 baMXI	 baMXI
 kahA - arjI	 kahA - arjI
 baMXe	 baMXa
 baMXo	 baMXa
 sajI	 saja
 raKo	 raKa
 raKAI	 raKA
 raKI	 raKa
 raKe	 raKa
 BejeM	 Beja
 uTAUz	 uTA
 KiMcA	 KiMcA
 sone	 sonA
 xOdZAyI	 xOdZA
 gUMWe	 gUMWa
 xOdZAye	 xOdZA
 rUkA	 rUka
 kAwawA	 kAwa
 le - xekara	 le - xe
 umadZawe	 umadZa
 ciDZawe	 ciDZa
 liKAI	 liKAI
 kahA - hujUra	 kahA - hujUra
 wulA	 wulA
 liKAo	 liKA
 raceMge	 raca
 kasA	 kasA
 xahAdZegA	 xahAdZa
 talo	 tala
 harja	 harja
 ulata - palatakara	 ulata - palata
 talI	 tala
 haMsI - xillagI	 haMsa - xillagI
 mAMgawemAMgawe	 mAMgawemAMgawe
 CAzta	 CAzta
 katA	 katA
 bole - hama	 bola - mEM
 asaPya	 asaPya
 nikAla	 nikAla
 milAyA - koI	 milAyA - koI
 dubAyA	 dubA
 saMvalAyA	 sazvalA
 paDZaleM	 paDZaleM
 XAåwe	 XA
 bole - wuma - jEse	 bola - wU - jEse
 sOMpe	 sOMpa
 Gusawe	 Gusa
 milanA	 mila
 mitane	 mita
 bolA - mEMne	 bolA - mEM
 maMgAI	 maMgA
 sOMpI	 sOMpa
 lage - ina	 lagA - yaha
 ladZawA	 ladZa
 kosanA	 kosa
 karUzgI	 kara
 garaja	 garaja
 GUmanA	 GUma
 hatanA	 hata
 xI - Apa	 xe - Apa
 liKUMgA	 liKa
 latakAye	 latakA
 bolI - kahawe	 bolI - kaha
 pakAne	 pakA
 pahacAnakara	 pahacAna
 patakakara	 pataka
 nikaleMge	 nikala
 jadZa	 jadZa
 BejiegA	 Beja
 kosUMgI	 kosa
 wudZAne	 wudZA
 xI - kasama	 xe - kasama
 pahuMcAI	 pahuMcA
 KelegA	 Kela
 nikAlIM	 nikAla
 kahegI	 kaha
 bIwane	 bIwa
 rukawI	 ruka
 malakara	 mala
 mitAo	 mitA
 uTAogI	 uTA
 bigAdZoge	 bigAdZa
 soeMgI	 so
 soeMge	 soeMge
 kahakara	 kaha
 liKAwI	 liKA
 KIca	 KIca
 liKAwe	 liKA
 yaxUMgI	 yaxUMgI
 WodAraha	 WodAraha
 karawe	 karawA
 AwI	 A
 Awe	 A
 karawI	 kara
 PeMkawe	 PeMka
 rokara	 ro
 bigadZawe	 bigadZa
 bigadZawI	 bigadZa
 gayA - mEM	 jA - mEM
 lipatA	 lipatA
 rokA	 roka
 pUCoge	 pUCa
 sulAe	 sulA
 haMsa	 haMsa
 jIUM	 jIUM
 pahuMcAegA	 pahuMcA
 seMkane	 seMka
 PaMsAkara	 PaMsA
 pUCA - kaho	 pUCa - kaha
 pUCA - sanwakumAra	 pUCa - sanwakumAra
 uwarawA	 uwara
 padZe - padZe	 padZA - padZA
 cimata	 cimata
 xubaka	 xubaka
 baDZAI	 baDZA
 KoUz	 Ko
 banavAUM	 banavA
 ciDZAyA	 ciDZA
 baDZAe	 baDZA
 bolI - pahale	 bolI - pahale
 kahazgA - xevI	 kahazgA - xevI
 bajAUzgA	 bajA
 batorakara	 batora
 KapAI	 KapA
 baDZAo	 baDZA
 pUCA - iXAra	 pUCa - iXAra
 KA - pI	 KA - pI
 hicakicAkara	 hicakicA
 ubArane	 ubAra
 PAdZawI	 PAdZa
 bolI - waba	 bolI - waba
 pahuzceMgI	 pahuzca
 bole - bawA	 bola - bawA
 pahuMcAne	 pahuMcA
 pacegA	 paca
 mAgaMwe	 mAgaMwe
 xuKawI	 xuKa
 bolI - wumhAre	 bolI - wU
 Jeloge	 Jela
 bulAeMge	 bulA
 lalakArA	 lalakAra
 BAwe	 BA
 BAwI	 BA
 xOdZa - xOdZakara	 xOdZa - xOdZa
 wAkA	 wAka
 XikkArakara	 XikkAra
 xIKawe	 xIKawe
 xIKawI	 xIKawI
 darakara	 dara
 niBAnA	 niBA
 rahawerahawe	 rahawerahawe
 uCalane	 uCala
 haMsawI - bolawI	 haMsa - bola
 PireM	 Pira
 sawAegA	 sawA
